Video ID,Title,Comment,Label
,,,
COVZoLNGZjY,"ISI SURAT RINA NOSE, AZKA AND FIRST LIVE Video 🔴","Rina Masih seorang Muslim
Hnya mungkin iman nya masih goyah dan alasan tertntu dgn melepas hijab
Doakn semoga Rina kembali mendapatkn kebaikn lagi 
Karena dia sedang di Uji",1
,,,
COVZoLNGZjY,"ISI SURAT RINA NOSE, AZKA AND FIRST LIVE Video 🔴","Kok pada ngributin hidup orang lain, mau pindah agama kek, mau buka hijab kek mau ngapain saja kek itu kan hidup2 mereka kok klian yg kepoh toh makan pun Nggak minta klian orang2 Indonesia semuanya gila isinya cuman ngubek2 hidup orang. Sdh urus hidup klian sendiri yg senin kamis Nggak ada masa depannya.Lol........",-1
,,,
COVZoLNGZjY,"ISI SURAT RINA NOSE, AZKA AND FIRST LIVE Video 🔴","Isi suratnya adalah ....
Rina nose tidak percaya akan adanya Tuhan/Allah",0
,,,
COVZoLNGZjY,"ISI SURAT RINA NOSE, AZKA AND FIRST LIVE Video 🔴","hmmmm sayang nya rina kalau ampe pindah,ibarat do,a pada hafal,saya mrasa islam itu jelas,mknya saya masuk islam 10th yg lalu,masaallah luar biasa,allahuakbar,smoga gak pindah agama ,kalau hijab buka tutup,itu wajar,berhubung rina artis itux di tanyakan",1
,,,
COVZoLNGZjY,"ISI SURAT RINA NOSE, AZKA AND FIRST LIVE Video 🔴",👍👍👍👍,1
,,,
COVZoLNGZjY,"ISI SURAT RINA NOSE, AZKA AND FIRST LIVE Video 🔴",Azka ganteng,1
,,,
COVZoLNGZjY,"ISI SURAT RINA NOSE, AZKA AND FIRST LIVE Video 🔴","Yes om Deddy, you have built the monster

Monster for the others, but can be protector for his family

You are so cool, Masya Allah",1
,,,
COVZoLNGZjY,"ISI SURAT RINA NOSE, AZKA AND FIRST LIVE Video 🔴",dapat suami bule dia jadi pindah agama rinna jadi murtad,-1
,,,
COVZoLNGZjY,"ISI SURAT RINA NOSE, AZKA AND FIRST LIVE Video 🔴",apa yang di madsud air kejujuran rina,0
,,,
COVZoLNGZjY,"ISI SURAT RINA NOSE, AZKA AND FIRST LIVE Video 🔴",Yg nonton 2019 like,0
,,,
